epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.377397,0.236537,0.630422,0.763463,0.763463
2,0.371441,0.217133,0.649244,0.782867,0.782867
3,0.371737,0.314124,0.570087,0.685876,0.782867
4,0.370662,0.320149,0.565319,0.679851,0.782867
5,0.370823,0.306935,0.575393,0.693065,0.782867
6,0.371504,0.306935,0.575393,0.693065,0.782867
7,0.369838,0.207036,0.659497,0.792964,0.792964
8,0.371370,0.314043,0.570051,0.685957,0.792964
9,0.369283,0.345910,0.549043,0.654090,0.792964
10,0.372140,0.314043,0.570051,0.685957,0.792964
11,0.369059,0.202074,0.664623,0.797926,0.797926
12,0.370600,0.206999,0.659461,0.793001,0.797926
13,0.371656,0.202074,0.664623,0.797926,0.797926
14,0.370788,0.314043,0.570051,0.685957,0.797926
15,0.370125,0.206999,0.659461,0.793001,0.797926
16,0.369453,0.206999,0.659461,0.793001,0.797926
17,0.369032,0.320065,0.565283,0.679935,0.797926
18,0.369462,0.314043,0.570051,0.685957,0.797926
19,0.368146,0.206999,0.659461,0.793001,0.797926
20,0.366561,0.314043,0.570051,0.685957,0.797926
21,0.368208,0.320065,0.565283,0.679935,0.797926
22,0.367761,0.314043,0.570051,0.685957,0.797926
23,0.366802,0.206999,0.659461,0.793001,0.797926
