epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.448749,0.327084,0.560043,0.672916,0.672916
2,0.397673,0.301201,0.577380,0.698799,0.698799
3,0.385060,0.278485,0.595093,0.721515,0.721515
4,0.379716,0.269101,0.602776,0.730899,0.730899
5,0.374650,0.267065,0.604083,0.732935,0.732935
6,0.370908,0.265323,0.605463,0.734677,0.734677
7,0.368993,0.267673,0.603152,0.732327,0.734677
8,0.365757,0.260788,0.608937,0.739212,0.739212
9,0.365058,0.259789,0.609904,0.740211,0.740211
10,0.363174,0.261490,0.608006,0.738510,0.740211
11,0.362337,0.261571,0.607791,0.738429,0.740211
12,0.361191,0.257826,0.611462,0.742174,0.742174
13,0.359518,0.258344,0.611158,0.741656,0.742174
14,0.359191,0.258950,0.610692,0.741050,0.742174
15,0.359262,0.254440,0.614614,0.745560,0.745560
16,0.358157,0.260245,0.609206,0.739755,0.745560
17,0.356223,0.258046,0.610979,0.741954,0.745560
18,0.356980,0.254815,0.614220,0.745185,0.745560
19,0.354344,0.252798,0.616065,0.747202,0.747202
20,0.354805,0.254267,0.614758,0.745733,0.747202
21,0.355019,0.252579,0.616352,0.747421,0.747421
22,0.353547,0.255463,0.613307,0.744537,0.747421
23,0.353225,0.254343,0.614776,0.745657,0.747421
24,0.353596,0.258954,0.610244,0.741046,0.747421
25,0.352996,0.254289,0.614811,0.745711,0.747421
26,0.352916,0.254396,0.614704,0.745604,0.747421
27,0.351569,0.259638,0.609797,0.740362,0.747421
28,0.351658,0.250687,0.617910,0.749313,0.749313
29,0.351533,0.250687,0.617910,0.749313,0.749313
30,0.350987,0.248011,0.619790,0.751989,0.751989
31,0.350436,0.248579,0.619414,0.751421,0.751989
32,0.351502,0.244869,0.623104,0.755131,0.755131
33,0.349971,0.242917,0.624877,0.757083,0.757083
34,0.349335,0.245680,0.622405,0.754320,0.757083
35,0.350043,0.245105,0.622889,0.754895,0.757083
36,0.349295,0.245394,0.622172,0.754606,0.757083
37,0.348825,0.242319,0.625522,0.757681,0.757681
38,0.349197,0.245118,0.622781,0.754882,0.757681
39,0.349443,0.249172,0.618859,0.750828,0.757681
40,0.349550,0.245629,0.622566,0.754371,0.757681
41,0.349250,0.248322,0.619773,0.751678,0.757681
42,0.348767,0.247661,0.620220,0.752339,0.757681
43,0.348454,0.244785,0.623193,0.755215,0.757681
44,0.347214,0.242331,0.625360,0.757669,0.757681
45,0.347670,0.244789,0.623265,0.755211,0.757681
46,0.347993,0.244618,0.623301,0.755382,0.757681
47,0.347617,0.244839,0.623211,0.755161,0.757681
48,0.348096,0.242048,0.625754,0.757952,0.757952
49,0.347630,0.240627,0.626865,0.759373,0.759373
50,0.346954,0.238249,0.629175,0.761751,0.761751
51,0.347268,0.238529,0.628871,0.761471,0.761751
52,0.346614,0.238629,0.628835,0.761371,0.761751
53,0.346395,0.238810,0.628781,0.761190,0.761751
54,0.345625,0.241558,0.626023,0.758442,0.761751
55,0.346068,0.240629,0.626919,0.759371,0.761751
56,0.346449,0.240510,0.627026,0.759490,0.761751
57,0.345759,0.240522,0.627080,0.759478,0.761751
58,0.345929,0.241216,0.626095,0.758784,0.761751
59,0.346220,0.241122,0.626184,0.758878,0.761751
60,0.345415,0.238202,0.629193,0.761798,0.761798
61,0.345365,0.240775,0.626847,0.759225,0.761798
62,0.345567,0.239570,0.627814,0.760430,0.761798
63,0.344685,0.240772,0.626865,0.759228,0.761798
64,0.345491,0.238300,0.629014,0.761700,0.761798
65,0.344860,0.240666,0.626775,0.759334,0.761798
66,0.345007,0.238280,0.629032,0.761720,0.761798
67,0.344658,0.241030,0.626542,0.758970,0.761798
68,0.344484,0.241810,0.625486,0.758190,0.761798
69,0.344551,0.241249,0.626471,0.758751,0.761798
70,0.343871,0.241213,0.626489,0.758787,0.761798
71,0.344170,0.242076,0.625217,0.757924,0.761798
72,0.343539,0.238783,0.628656,0.761217,0.761798
