epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.467738,0.206954,0.658995,0.793046,0.793046
2,0.402239,0.205426,0.660680,0.794574,0.794574
3,0.385456,0.205224,0.660895,0.794776,0.794776
4,0.375364,0.204839,0.661289,0.795161,0.795161
5,0.368898,0.204786,0.661325,0.795214,0.795214
6,0.364608,0.205013,0.661038,0.794987,0.795214
7,0.360247,0.204444,0.661576,0.795556,0.795556
8,0.356226,0.204435,0.661576,0.795565,0.795565
9,0.355116,0.203826,0.662293,0.796174,0.796174
10,0.350898,0.203799,0.662329,0.796201,0.796201
11,0.348954,0.203799,0.662329,0.796201,0.796201
12,0.347432,0.203773,0.662365,0.796227,0.796227
13,0.345972,0.203773,0.662365,0.796227,0.796227
14,0.345471,0.203747,0.662401,0.796253,0.796253
15,0.345041,0.203712,0.662401,0.796288,0.796288
16,0.343966,0.203686,0.662436,0.796314,0.796314
17,0.342766,0.203703,0.662401,0.796297,0.796314
18,0.340993,0.203756,0.662365,0.796244,0.796314
19,0.340698,0.203729,0.662365,0.796271,0.796314
20,0.339417,0.203677,0.662436,0.796323,0.796323
21,0.339999,0.203721,0.662365,0.796279,0.796323
22,0.339390,0.203581,0.662508,0.796419,0.796419
23,0.337268,0.203581,0.662508,0.796419,0.796419
24,0.337142,0.203546,0.662508,0.796454,0.796454
25,0.338002,0.203572,0.662472,0.796428,0.796454
26,0.336766,0.203390,0.662723,0.796610,0.796610
27,0.336444,0.203390,0.662759,0.796610,0.796610
28,0.338360,0.203390,0.662759,0.796610,0.796610
29,0.335933,0.203364,0.662759,0.796636,0.796636
30,0.334599,0.203390,0.662759,0.796610,0.796636
31,0.334769,0.203416,0.662723,0.796584,0.796636
32,0.333489,0.203416,0.662723,0.796584,0.796636
33,0.334823,0.203451,0.662651,0.796549,0.796636
34,0.332862,0.203468,0.662616,0.796532,0.796636
35,0.333641,0.203616,0.662508,0.796384,0.796636
36,0.332674,0.203442,0.662651,0.796558,0.796636
37,0.332790,0.203442,0.662651,0.796558,0.796636
38,0.332754,0.203442,0.662651,0.796558,0.796636
39,0.331375,0.203468,0.662616,0.796532,0.796636
40,0.332047,0.203468,0.662616,0.796532,0.796636
41,0.333444,0.203468,0.662616,0.796532,0.796636
