timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T15:44:29,LSTM_1h_long_V2,1,train,0.478052,0.500546,0.336581,2.713525e-04,0.5000
2025-08-17T15:44:34,LSTM_1h_long_V2,1,val,0.499948,0.609226,0.485761,2.713525e-04,0.3250
2025-08-17T15:44:40,LSTM_1h_long_V2,2,train,0.476948,0.500689,0.333640,1.963525e-04,0.5000
2025-08-17T15:44:45,LSTM_1h_long_V2,2,val,0.503403,0.519478,0.490412,1.963525e-04,0.3250
2025-08-17T15:44:50,LSTM_1h_long_V2,3,train,0.476941,0.498576,0.332700,1.036475e-04,0.5000
2025-08-17T15:44:55,LSTM_1h_long_V2,3,val,0.508923,0.666475,0.399931,1.036475e-04,0.2000
2025-08-17T15:45:01,LSTM_1h_long_V2,4,train,0.476790,0.499991,0.333329,2.864745e-05,0.5000
2025-08-17T15:45:06,LSTM_1h_long_V2,4,val,0.507042,0.666475,0.399931,2.864745e-05,0.2000
2025-08-17T15:45:11,LSTM_1h_long_V2,5,train,0.476278,0.500636,0.333616,3.000000e-04,0.5000
2025-08-17T15:45:16,LSTM_1h_long_V2,5,val,0.509280,0.666475,0.399931,3.000000e-04,0.2000
2025-08-17T15:45:22,LSTM_1h_long_V2,6,train,0.476886,0.499329,0.333035,2.926585e-04,0.5000
2025-08-17T15:45:27,LSTM_1h_long_V2,6,val,0.503814,0.503049,0.486313,2.926585e-04,0.3250
2025-08-17T15:45:32,LSTM_1h_long_V2,7,train,0.476337,0.502283,0.334346,2.713525e-04,0.5000
2025-08-17T15:45:37,LSTM_1h_long_V2,7,val,0.513380,0.666475,0.399931,2.713525e-04,0.2000
2025-08-17T15:45:42,LSTM_1h_long_V2,8,train,0.475823,0.504020,0.335115,2.381678e-04,0.5000
2025-08-17T15:45:48,LSTM_1h_long_V2,8,val,0.508768,0.664467,0.401858,2.381678e-04,0.3000
2025-08-17T15:45:53,LSTM_1h_long_V2,9,train,0.477098,0.495192,0.331190,1.963525e-04,0.5000
2025-08-17T15:45:58,LSTM_1h_long_V2,9,val,0.509336,0.666475,0.399931,1.963525e-04,0.2000
2025-08-17T15:46:04,LSTM_1h_long_V2,10,train,0.476985,0.497986,0.332437,1.500000e-04,0.5000
2025-08-17T15:46:09,LSTM_1h_long_V2,10,val,0.510637,0.666475,0.399931,1.500000e-04,0.2000
2025-08-17T15:46:15,LSTM_1h_long_V2,11,train,0.476185,0.501638,0.334061,1.036475e-04,0.5000
2025-08-17T15:46:20,LSTM_1h_long_V2,11,val,0.509423,0.666475,0.399931,1.036475e-04,0.2000
2025-08-17T15:46:25,LSTM_1h_long_V2,12,train,0.476097,0.501710,0.334092,6.183221e-05,0.5000
2025-08-17T15:46:30,LSTM_1h_long_V2,12,val,0.508952,0.666475,0.399931,6.183221e-05,0.2000
2025-08-17T15:46:36,LSTM_1h_long_V2,13,train,0.476182,0.501638,0.334061,2.864745e-05,0.5000
2025-08-17T15:46:41,LSTM_1h_long_V2,13,val,0.504222,0.666475,0.399931,2.864745e-05,0.2000
2025-08-17T15:46:46,LSTM_1h_long_V2,14,train,0.476697,0.496410,0.331734,7.341523e-06,0.5000
2025-08-17T15:46:51,LSTM_1h_long_V2,14,val,0.501111,0.664610,0.403327,7.341523e-06,0.3250
