timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T12:01:06,LSTM_1d_long_V9,1,train,0.503348,0.490678,0.372897,2.713525e-04,0.5000
2025-08-17T12:01:13,LSTM_1d_long_V9,1,val,0.525288,0.535104,0.513927,2.713525e-04,0.3250
2025-08-17T12:01:17,LSTM_1d_long_V9,2,train,0.493476,0.505230,0.335650,1.963525e-04,0.5000
2025-08-17T12:01:21,LSTM_1d_long_V9,2,val,0.548259,0.548387,0.492416,1.963525e-04,0.2750
2025-08-17T12:01:25,LSTM_1d_long_V9,3,train,0.497100,0.487040,0.327523,1.036475e-04,0.5000
2025-08-17T12:01:29,LSTM_1d_long_V9,3,val,0.531828,0.542694,0.490964,1.036475e-04,0.3000
2025-08-17T12:01:34,LSTM_1d_long_V9,4,train,0.491169,0.499318,0.333835,2.864745e-05,0.5000
2025-08-17T12:01:38,LSTM_1d_long_V9,4,val,0.523187,0.538899,0.513684,2.864745e-05,0.3250
2025-08-17T12:01:42,LSTM_1d_long_V9,5,train,0.490885,0.499773,0.333232,3.000000e-04,0.5000
2025-08-17T12:01:46,LSTM_1d_long_V9,5,val,0.521739,0.546490,0.515142,3.000000e-04,0.3250
2025-08-17T12:01:50,LSTM_1d_long_V9,6,train,0.489162,0.495680,0.332205,2.926585e-04,0.5000
2025-08-17T12:01:54,LSTM_1d_long_V9,6,val,0.518234,0.535104,0.494121,2.926585e-04,0.3250
2025-08-17T12:01:58,LSTM_1d_long_V9,7,train,0.487856,0.497499,0.333819,2.713525e-04,0.5000
2025-08-17T12:02:03,LSTM_1d_long_V9,7,val,0.518874,0.544592,0.510541,2.713525e-04,0.3250
2025-08-17T12:02:07,LSTM_1d_long_V9,8,train,0.488421,0.510232,0.337850,2.381678e-04,0.5000
2025-08-17T12:02:11,LSTM_1d_long_V9,8,val,0.519139,0.540797,0.508547,2.381678e-04,0.3250
2025-08-17T12:02:15,LSTM_1d_long_V9,9,train,0.492152,0.482947,0.325667,1.963525e-04,0.5000
2025-08-17T12:02:19,LSTM_1d_long_V9,9,val,0.519308,0.542694,0.513064,1.963525e-04,0.3250
2025-08-17T12:02:23,LSTM_1d_long_V9,10,train,0.491634,0.491587,0.331148,1.500000e-04,0.5000
2025-08-17T12:02:27,LSTM_1d_long_V9,10,val,0.517594,0.540797,0.506463,1.500000e-04,0.3250
2025-08-17T12:02:31,LSTM_1d_long_V9,11,train,0.488525,0.516598,0.341473,1.036475e-04,0.5000
2025-08-17T12:02:35,LSTM_1d_long_V9,11,val,0.519519,0.537002,0.510327,1.036475e-04,0.3250
2025-08-17T12:02:40,LSTM_1d_long_V9,12,train,0.486795,0.514325,0.339640,6.183221e-05,0.5000
2025-08-17T12:02:44,LSTM_1d_long_V9,12,val,0.523974,0.550285,0.493830,6.183221e-05,0.3000
2025-08-17T12:02:48,LSTM_1d_long_V9,13,train,0.490673,0.504320,0.335248,2.864745e-05,0.5000
2025-08-17T12:02:52,LSTM_1d_long_V9,13,val,0.526183,0.544592,0.496417,2.864745e-05,0.3000
2025-08-17T12:02:56,LSTM_1d_long_V9,14,train,0.484373,0.502046,0.334242,7.341523e-06,0.5000
2025-08-17T12:03:00,LSTM_1d_long_V9,14,val,0.525798,0.546490,0.496536,7.341523e-06,0.3000
2025-08-17T12:03:05,LSTM_1d_long_V9,15,train,0.489804,0.498408,0.332625,3.000000e-04,0.5000
2025-08-17T12:03:09,LSTM_1d_long_V9,15,val,0.525567,0.544592,0.493756,3.000000e-04,0.3000
