epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.645641,0.614862,0.693175,0.818787,0.818787
2,0.628069,0.615499,0.693175,0.818787,0.818787
3,0.626194,0.616077,0.693175,0.818787,0.818787
4,0.627322,0.616918,0.693175,0.818787,0.818787
5,0.626675,0.618198,0.693175,0.818787,0.818787
6,0.626532,0.616665,0.693175,0.818787,0.818787
7,0.626541,0.619455,0.693175,0.818787,0.818787
8,0.626524,0.618926,0.693175,0.818787,0.818787
9,0.626071,0.618124,0.693175,0.818787,0.818787
10,0.626666,0.618182,0.692019,0.817980,0.818787
11,0.626001,0.616930,0.690862,0.817171,0.818787
12,0.626409,0.619073,0.690862,0.817171,0.818787
13,0.625986,0.619329,0.690862,0.816795,0.818787
