episode,total_reward,epsilon
0.0,150.2483768888927,0.995
1.0,-103.37198434100851,0.990025
2.0,188.5176395706453,0.985074875
3.0,19.98707948989145,0.980149500625
4.0,117.30796592382788,0.9752487531218752
5.0,138.2635266840306,0.9703725093562656
6.0,112.32048847858016,0.9655206468094844
7.0,27.07046375955979,0.960693043575437
8.0,21.195575505250623,0.9558895783575596
9.0,-95.53682636551024,0.951110130465772
10.0,-151.61041685997262,0.946354579813443
11.0,-33.43992044046397,0.9416228069143756
12.0,-156.53981786457206,0.936914692879804
13.0,62.21384941306118,0.9322301194154048
14.0,-46.69322786754803,0.9275689688183278
15.0,2.931887535291787,0.9229311239742362
16.0,56.54588148512098,0.918316468354365
17.0,-191.2501478129224,0.9137248860125932
18.0,-48.12575699031527,0.9091562615825302
19.0,-53.5817537056287,0.9046104802746175
