episode,total_reward,epsilon
0.0,-306.5850077936853,0.995
1.0,74.17726582838951,0.990025
2.0,151.52479574015834,0.985074875
3.0,219.6339572589391,0.980149500625
4.0,-89.84189867189245,0.9752487531218752
5.0,55.4723324639215,0.9703725093562656
6.0,-41.23010172677661,0.9655206468094844
7.0,-195.687129484547,0.960693043575437
8.0,-26.624637285260377,0.9558895783575596
9.0,114.62867135002648,0.951110130465772
10.0,50.51052473628518,0.946354579813443
11.0,-241.32925321912225,0.9416228069143756
12.0,-52.35711605077844,0.936914692879804
13.0,128.1076705206093,0.9322301194154048
14.0,14.223517836938274,0.9275689688183278
15.0,-15.625632826435089,0.9229311239742362
16.0,-63.96015805523775,0.918316468354365
17.0,-67.16987375549658,0.9137248860125932
18.0,43.70630861270956,0.9091562615825302
19.0,-59.45223584914788,0.9046104802746175
20.0,150.32015854662558,0.9000874278732445
21.0,29.572678783744117,0.8955869907338783
22.0,-91.57572643143654,0.8911090557802088
23.0,38.52402311940055,0.8866535105013078
24.0,136.08195447537145,0.8822202429488013
25.0,-198.43991462175856,0.8778091417340573
26.0,-132.76073845694856,0.8734200960253871
27.0,-108.03245884382945,0.8690529955452602
28.0,63.26431219537432,0.8647077305675338
29.0,-100.54629016482056,0.8603841919146962
30.0,-36.51911388916864,0.8560822709551227
31.0,7.62896809842537,0.851801859600347
32.0,-118.595041835274,0.8475428503023453
33.0,173.9309639719759,0.8433051360508336
34.0,-36.53323811800413,0.8390886103705794
35.0,124.3203909951258,0.8348931673187264
36.0,-88.4184032415104,0.8307187014821328
37.0,-194.5170851230162,0.8265651079747222
38.0,-70.16292337116523,0.8224322824348486
39.0,-16.350919894704504,0.8183201210226743
40.0,29.065628495499244,0.8142285204175609
41.0,-99.7882347016975,0.810157377815473
