episode,total_reward,epsilon
0.0,44.98666036700422,0.995
1.0,90.4474806451774,0.990025
2.0,-320.99402870652426,0.985074875
3.0,-13.907053431528094,0.980149500625
4.0,-30.434029942876275,0.9752487531218752
5.0,-188.07733190457287,0.9703725093562658
6.0,70.71488938584572,0.9655206468094845
7.0,72.79334168998108,0.9606930435754371
8.0,146.67305764624123,0.9558895783575598
9.0,-206.01933113693346,0.951110130465772
10.0,41.49981530644149,0.9463545798134431
11.0,206.48104085730137,0.9416228069143758
12.0,-186.6846715482409,0.936914692879804
13.0,-44.2806351122386,0.932230119415405
14.0,-43.33333314233572,0.927568968818328
15.0,-20.54346379714814,0.9229311239742363
16.0,-92.22712827715557,0.9183164683543651
17.0,198.93959289602975,0.9137248860125933
18.0,-33.127400781472204,0.9091562615825303
19.0,-78.20067505017755,0.9046104802746177
20.0,-49.662503307848496,0.9000874278732446
21.0,-4.125054574118026,0.8955869907338784
22.0,-102.89203436011708,0.8911090557802089
23.0,-85.10182380122733,0.8866535105013079
24.0,-93.52445269809166,0.8822202429488014
25.0,-229.7037464103338,0.8778091417340574
26.0,105.9790674455433,0.8734200960253872
27.0,92.84837689894158,0.8690529955452603
28.0,148.67564448065897,0.8647077305675339
29.0,146.6945005395778,0.8603841919146963
30.0,-69.57983420274415,0.8560822709551228
31.0,33.923016498513945,0.8518018596003472
32.0,105.5906561516395,0.8475428503023454
33.0,-70.51729117690218,0.8433051360508337
34.0,-50.15001173974362,0.8390886103705795
35.0,60.68321721590539,0.8348931673187265
36.0,160.95231172080378,0.8307187014821329
37.0,94.24316202734423,0.8265651079747223
38.0,-46.149779138387956,0.8224322824348487
39.0,108.5602923565564,0.8183201210226744
40.0,26.60037939544212,0.814228520417561
41.0,59.26773124751652,0.8101573778154731
42.0,22.479595084159318,0.8061065909263958
43.0,-80.22164745642166,0.8020760579717638
44.0,100.576576151145,0.7980656776819051
45.0,-23.357559978305954,0.7940753492934955
46.0,95.9963367266841,0.790104972547028
47.0,165.99037779248405,0.7861544476842929
48.0,-256.70981109693054,0.7822236754458715
49.0,159.79503844268666,0.7783125570686421
50.0,75.39966705790292,0.7744209942832989
51.0,-49.88655524510597,0.7705488893118824
52.0,68.34526782935635,0.766696144865323
53.0,-24.544155164779472,0.7628626641409963
54.0,58.3065681350849,0.7590483508202913
55.0,-79.66623738797634,0.7552531090661898
56.0,-171.5133579063956,0.7514768435208589
57.0,-106.82768818711025,0.7477194593032546
58.0,-64.21363860190615,0.7439808620067383
59.0,-34.80340532431775,0.7402609576967046
60.0,-21.00880321019125,0.7365596529082211
61.0,216.94271558096807,0.73287685464368
62.0,61.634981934517526,0.7292124703704617
63.0,-205.58183234827305,0.7255664080186094
64.0,-8.437121798939057,0.7219385759785163
65.0,-88.20126281702026,0.7183288830986237
66.0,33.2034571894886,0.7147372386831307
67.0,91.55655999554834,0.711163552489715
68.0,15.000398134781776,0.7076077347272663
69.0,-119.16417153936726,0.70406969605363
70.0,85.98141296670376,0.7005493475733618
71.0,-37.91306255518344,0.6970466008354951
72.0,-101.0506114867405,0.6935613678313176
73.0,18.315408643300042,0.690093560992161
74.0,57.6406083546605,0.6866430931872002
75.0,-110.31543422914822,0.6832098777212642
76.0,317.13534388951496,0.6797938283326579
77.0,78.65244618883757,0.6763948591909946
78.0,276.55404414606437,0.6730128848950396
79.0,-48.93585946659117,0.6696478204705645
80.0,62.10922055692289,0.6662995813682117
81.0,87.59216716062348,0.6629680834613706
82.0,81.79977142420039,0.6596532430440637
83.0,127.10486177802707,0.6563549768288434
84.0,-27.853682286274143,0.6530732019446991
85.0,39.80226407449548,0.6498078359349756
86.0,-88.20025666467232,0.6465587967553007
87.0,-76.34001406627485,0.6433260027715242
88.0,-45.73471806592171,0.6401093727576666
89.0,-13.197793384163877,0.6369088258938782
90.0,-35.916907235733554,0.6337242817644088
91.0,218.19637530747326,0.6305556603555867
92.0,-96.36514169843865,0.6274028820538088
93.0,24.687369541932586,0.6242658676435398
94.0,-36.22792417454325,0.621144538305322
95.0,10.210091354588641,0.6180388156137954
96.0,32.827628872636716,0.6149486215357264
97.0,87.37987312030235,0.6118738784280477
98.0,-150.68642682401048,0.6088145090359075
99.0,-34.76095388525986,0.6057704364907279
