episode,total_reward,epsilon
0.0,-250.72885425658444,0.995
1.0,64.14522611133401,0.990025
2.0,-24.24333707551327,0.985074875
3.0,-136.84335567860862,0.980149500625
4.0,14.443943922709035,0.9752487531218752
5.0,194.94362345466368,0.9703725093562656
6.0,-262.66290793317233,0.9655206468094844
7.0,-137.9330011281522,0.960693043575437
8.0,-64.39600445876468,0.9558895783575596
9.0,304.4568368953962,0.951110130465772
10.0,-165.72790843121746,0.946354579813443
11.0,-8.47540679611126,0.9416228069143756
12.0,-122.49099473497566,0.936914692879804
13.0,-177.7268201034215,0.9322301194154048
14.0,-140.65594646787346,0.9275689688183278
15.0,-112.32288258811424,0.9229311239742362
16.0,58.389288786047786,0.918316468354365
17.0,-285.44905945132973,0.9137248860125932
18.0,65.96043103054446,0.9091562615825302
19.0,-1.379439478894141,0.9046104802746175
20.0,45.9662882322482,0.9000874278732445
21.0,48.60462011800832,0.8955869907338783
22.0,106.96247530609637,0.8911090557802088
23.0,136.2188862852312,0.8866535105013078
24.0,-12.330763194930633,0.8822202429488013
25.0,81.93502638580385,0.8778091417340573
26.0,43.04672680072384,0.8734200960253871
27.0,318.6567209297311,0.8690529955452602
28.0,-81.90712134866673,0.8647077305675338
29.0,-14.232451447606836,0.8603841919146962
30.0,165.27002619734574,0.8560822709551227
31.0,105.93725091083036,0.851801859600347
32.0,-4.016429809532268,0.8475428503023453
33.0,98.14197261060662,0.8433051360508336
34.0,189.63344631594504,0.8390886103705794
35.0,148.9096130630764,0.8348931673187264
36.0,223.06836927218924,0.8307187014821328
37.0,57.20065113695568,0.8265651079747222
38.0,85.23259413695062,0.8224322824348486
39.0,-27.663206185137177,0.8183201210226743
40.0,261.4427684652235,0.8142285204175609
41.0,118.46908435025478,0.810157377815473
42.0,76.37668940860243,0.8061065909263957
43.0,30.45101102471028,0.8020760579717637
44.0,143.51590020468015,0.798065677681905
45.0,136.07957234552254,0.7940753492934954
46.0,-118.51175944102674,0.7901049725470279
47.0,-87.92976831045745,0.7861544476842928
48.0,161.56084131021697,0.7822236754458713
49.0,-117.74889110727102,0.778312557068642
50.0,6.391881665443407,0.7744209942832988
51.0,17.002030840711946,0.7705488893118823
52.0,-175.40524240781392,0.7666961448653229
53.0,43.95792732405261,0.7628626641409962
54.0,-108.98970197396169,0.7590483508202912
55.0,78.78104368994236,0.7552531090661897
56.0,26.386767656627093,0.7514768435208588
57.0,-1.072029518882571,0.7477194593032545
58.0,71.92619484123807,0.7439808620067382
59.0,124.16216712155524,0.7402609576967045
60.0,145.97602560138208,0.736559652908221
61.0,129.21673268670995,0.7328768546436799
62.0,271.6796996622116,0.7292124703704616
63.0,16.858258784555943,0.7255664080186093
64.0,68.87248376341948,0.7219385759785162
65.0,86.79241355679696,0.7183288830986236
66.0,-174.46752684866954,0.7147372386831305
67.0,-138.44625211906776,0.7111635524897149
68.0,-113.77462506335128,0.7076077347272662
69.0,-106.43458153139616,0.7040696960536299
70.0,-49.93361863029685,0.7005493475733617
71.0,11.127386105674676,0.697046600835495
72.0,-138.111540893764,0.6935613678313175
73.0,70.22586566393248,0.6900935609921609
74.0,3.8266262656118655,0.6866430931872001
75.0,-6.500877349151539,0.6832098777212641
76.0,-43.41453910198242,0.6797938283326578
77.0,-37.99619507730218,0.6763948591909945
78.0,-76.45492876079604,0.6730128848950395
79.0,-195.04710523961688,0.6696478204705644
80.0,85.77800101442453,0.6662995813682115
81.0,5.319856830411647,0.6629680834613705
82.0,-46.052162327725526,0.6596532430440636
83.0,83.37634668802805,0.6563549768288433
84.0,-85.43018313110305,0.653073201944699
85.0,2.771642616618362,0.6498078359349755
86.0,-56.25118606337337,0.6465587967553006
87.0,95.13903085143913,0.6433260027715241
88.0,15.602232793972412,0.6401093727576664
89.0,93.88237813123584,0.6369088258938781
90.0,-103.21808650447575,0.6337242817644086
91.0,-12.941348919420111,0.6305556603555866
92.0,-60.42869865958588,0.6274028820538087
93.0,66.57631905685861,0.6242658676435396
94.0,66.76042266171115,0.6211445383053219
95.0,20.20415689833876,0.6180388156137953
96.0,-47.58319576791047,0.6149486215357263
97.0,44.658329071752405,0.6118738784280476
98.0,150.80023223217478,0.6088145090359074
99.0,-45.790760763635674,0.6057704364907278
