epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.669031,0.651759,0.660959,0.795876,0.795876
2,0.643915,0.633275,0.660959,0.795876,0.795876
3,0.638775,0.633913,0.660959,0.795876,0.795876
4,0.635786,0.632587,0.660959,0.795876,0.795876
5,0.636234,0.635133,0.660959,0.795876,0.795876
6,0.639434,0.632282,0.660959,0.795876,0.795876
7,0.639036,0.632638,0.660959,0.795876,0.795876
8,0.636693,0.633386,0.660959,0.795876,0.795876
9,0.637567,0.631565,0.660959,0.795876,0.795876
10,0.632024,0.633617,0.660959,0.795876,0.795876
11,0.634227,0.630925,0.660959,0.795876,0.795876
12,0.637165,0.630348,0.660959,0.795876,0.795876
13,0.637827,0.632054,0.660959,0.795876,0.795876
14,0.637203,0.633594,0.660959,0.795876,0.795876
15,0.632968,0.630424,0.660959,0.795876,0.795876
16,0.630107,0.631639,0.660959,0.795876,0.795876
17,0.632277,0.631787,0.660959,0.795876,0.795876
18,0.633929,0.633272,0.660959,0.795876,0.795876
19,0.629825,0.632345,0.660959,0.795876,0.795876
20,0.632213,0.633538,0.660959,0.795876,0.795876
21,0.629405,0.632211,0.660959,0.795876,0.795876
22,0.629967,0.630791,0.660959,0.795876,0.795876
23,0.631040,0.632973,0.657534,0.793388,0.795876
24,0.633525,0.630311,0.660959,0.795876,0.795876
25,0.629855,0.633437,0.664384,0.796680,0.796680
26,0.629345,0.629303,0.660959,0.795876,0.796680
27,0.630188,0.630412,0.659247,0.794634,0.796680
28,0.629516,0.631000,0.660959,0.795876,0.796680
29,0.629883,0.633393,0.662671,0.795855,0.796680
30,0.624757,0.628052,0.660959,0.795876,0.796680
31,0.633343,0.630912,0.659247,0.794634,0.796680
32,0.626034,0.629325,0.660959,0.795876,0.796680
33,0.635432,0.631120,0.655822,0.791710,0.796680
34,0.625384,0.629385,0.660959,0.795876,0.796680
35,0.630260,0.630366,0.660959,0.795876,0.796680
36,0.628183,0.630014,0.664384,0.795833,0.796680
37,0.635588,0.627165,0.659247,0.794634,0.796680
