symbol,tf,model,variant_k,side,entry_time_ms,entry_time,entry_price,exit_time_ms,exit_time,exit_reason,pnl_pct,mae_pct,time_to_close_min,win
ADAUSDT,15m,Transformer,3,short,1727756099999,2024-10-01 04:14,0.3803,1727765879999,2024-10-01 06:57,SL,-0.9901,-1.0666,163,False
ADAUSDT,15m,CNN,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,CNN,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,LSTM,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,LSTM,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,DQN,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,DQN,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,PPO,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,PPO,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,QLearning,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,QLearning,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,Transformer,4,long,1727709299999,2024-09-30 15:14,0.3817,1727712119999,2024-09-30 16:01,SL,-1.0,-1.02174,47,False
ADAUSDT,15m,Transformer,4,short,1727762399999,2024-10-01 05:59,0.3818,1727781059999,2024-10-01 11:10,SL,-0.9901,-1.01115,311,False
ADAUSDT,15m,CNN,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,CNN,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
ADAUSDT,15m,LSTM,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,LSTM,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
ADAUSDT,15m,DQN,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,DQN,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
