model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_15m_short_V8.pt,15m,short,8,macd|supertrend|rsi_14,32,0.6,165,0,165,0.0,60.91,✅ ok
DQN_15m_short_V9.pt,15m,short,9,macd|supertrend|ema_20|rsi_14,32,0.6,84,0,84,0.0,77.7,✅ ok
DQN_1d_long_V1.pt,1d,long,1,macd|supertrend,32,0.6,28,18,10,64.29,101.59,✅ ok
DQN_1d_long_V10.pt,1d,long,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,21,18,3,85.71,101.4,✅ ok
DQN_1d_long_V11.pt,1d,long,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,17,12,5,70.59,103.45,✅ ok
DQN_1d_long_V12.pt,1d,long,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,10,8,2,80.0,101.61,✅ ok
DQN_1d_long_V13.pt,1d,long,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,26,19,7,73.08,103.03,✅ ok
DQN_1d_long_V14.pt,1d,long,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,12,10,2,83.33,101.2,✅ ok
DQN_1d_long_V15.pt,1d,long,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,33,28,5,84.85,101.8,✅ ok
DQN_1d_long_V2.pt,1d,long,2,macd|ema_20,32,0.6,21,18,3,85.71,103.03,✅ ok
DQN_1d_long_V3.pt,1d,long,3,macd|rsi_14,32,0.6,24,17,7,70.83,105.11,✅ ok
DQN_1d_long_V4.pt,1d,long,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,22,13,9,59.09,105.11,✅ ok
DQN_1d_long_V5.pt,1d,long,5,macd|ema_20|rsi_14,32,0.6,6,4,2,66.67,100.4,✅ ok
DQN_1d_long_V6.pt,1d,long,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,20,15,5,75.0,103.03,✅ ok
DQN_1d_long_V7.pt,1d,long,7,macd|supertrend|ema_20,32,0.6,19,14,5,73.68,102.62,✅ ok
DQN_1d_long_V8.pt,1d,long,8,macd|supertrend|rsi_14,32,0.6,26,20,6,76.92,104.48,✅ ok
DQN_1d_long_V9.pt,1d,long,9,macd|supertrend|ema_20|rsi_14,32,0.6,25,16,9,64.0,103.44,✅ ok
DQN_1d_short_V1.pt,1d,short,1,macd|supertrend,32,0.6,12,0,12,0.0,93.03,✅ ok
DQN_1d_short_V10.pt,1d,short,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,11,0,11,0.0,93.59,✅ ok
DQN_1d_short_V11.pt,1d,short,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,35,0,35,0.0,81.01,✅ ok
DQN_1d_short_V12.pt,1d,short,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,29,0,29,0.0,83.99,✅ ok
