epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.699411,0.712568,0.341497,0.008435,0.008435
2,0.694348,0.692802,0.498779,0.563130,0.563130
3,0.692537,0.673474,0.649598,0.784715,0.784715
4,0.692171,0.684856,0.603921,0.732321,0.784715
5,0.692410,0.678406,0.660586,0.795606,0.795606
6,0.692166,0.660753,0.639400,0.774853,0.795606
7,0.692408,0.703489,0.414680,0.356545,0.795606
8,0.692409,0.683036,0.619865,0.752814,0.795606
9,0.692061,0.667764,0.650891,0.785850,0.795606
10,0.691677,0.688037,0.547975,0.659084,0.795606
11,0.692092,0.676652,0.659940,0.794746,0.795606
12,0.692201,0.692072,0.530092,0.624979,0.795606
13,0.692413,0.694378,0.499282,0.567440,0.795606
14,0.692153,0.688387,0.557311,0.672093,0.795606
15,0.692738,0.693832,0.494398,0.564087,0.795606
16,0.692551,0.696196,0.549411,0.658130,0.795606
17,0.692822,0.695993,0.444628,0.433355,0.795606
