update,steps,return_mean,return_std,best
1,2048,6.2975053787231445,4.880219459533691,6.2975053787231445
2,4096,35.00714874267578,13.217829704284668,35.00714874267578
3,6144,42.544166564941406,4.591983318328857,42.544166564941406
4,8192,37.17869186401367,1.7749202251434326,42.544166564941406
1,10240,29.880817413330078,1.0905449390411377,29.880817413330078
2,12288,26.850696563720703,1.1127859354019165,29.880817413330078
3,14336,26.472253799438477,1.428407073020935,29.880817413330078
4,16384,24.850749969482422,2.168300151824951,29.880817413330078
5,18432,24.244077682495117,1.1583372354507446,29.880817413330078
6,20480,23.33213233947754,1.8539669513702393,29.880817413330078
7,22528,23.257469177246094,2.3168482780456543,29.880817413330078
8,24576,19.908784866333008,5.615932464599609,29.880817413330078
9,26624,20.509910583496094,6.585629940032959,29.880817413330078
10,28672,21.088937759399414,4.500044822692871,29.880817413330078
11,30720,21.410198211669922,1.3488717079162598,29.880817413330078
12,32768,22.18393325805664,0.3868880867958069,29.880817413330078
13,34816,20.98240852355957,1.596989631652832,29.880817413330078
14,36864,21.087112426757812,1.2228928804397583,29.880817413330078
15,38912,20.6944580078125,1.3901572227478027,29.880817413330078
16,40960,20.052387237548828,1.4994783401489258,29.880817413330078
17,43008,21.479061126708984,1.3218330144882202,29.880817413330078
18,45056,20.319345474243164,1.4746793508529663,29.880817413330078
19,47104,20.87126922607422,1.0503848791122437,29.880817413330078
20,49152,20.536861419677734,2.1200664043426514,29.880817413330078
21,51200,20.16322898864746,1.1801799535751343,29.880817413330078
22,53248,20.415695190429688,1.122135043144226,29.880817413330078
23,55296,20.576278686523438,0.994487464427948,29.880817413330078
24,57344,19.992403030395508,1.361966609954834,29.880817413330078
25,59392,19.239988327026367,0.5646706819534302,29.880817413330078
26,61440,20.370990753173828,1.541732907295227,29.880817413330078
27,63488,20.853046417236328,0.38540467619895935,29.880817413330078
28,65536,21.20273780822754,0.49870750308036804,29.880817413330078
29,67584,20.214584350585938,1.4610600471496582,29.880817413330078
30,69632,20.3798885345459,1.2805771827697754,29.880817413330078
31,71680,21.937332153320312,0.5846425890922546,29.880817413330078
32,73728,20.253978729248047,1.014726996421814,29.880817413330078
33,75776,20.674877166748047,0.5170168280601501,29.880817413330078
34,77824,20.31431007385254,0.7979975938796997,29.880817413330078
35,79872,20.2980899810791,0.9964995980262756,29.880817413330078
36,81920,19.667253494262695,1.1055560111999512,29.880817413330078
37,83968,21.160175323486328,1.1264050006866455,29.880817413330078
38,86016,22.11200523376465,0.44467413425445557,29.880817413330078
39,88064,19.584707260131836,1.3471037149429321,29.880817413330078
40,90112,20.58051109313965,0.7828527092933655,29.880817413330078
41,92160,20.327159881591797,1.3872244358062744,29.880817413330078
42,94208,19.758296966552734,1.527819037437439,29.880817413330078
43,96256,21.053266525268555,1.2812929153442383,29.880817413330078
44,98304,21.4090576171875,1.3022868633270264,29.880817413330078
45,100352,19.203041076660156,2.3598458766937256,29.880817413330078
46,102400,19.891817092895508,1.4972198009490967,29.880817413330078
47,104448,19.376407623291016,1.6352592706680298,29.880817413330078
48,106496,19.30936622619629,2.1011617183685303,29.880817413330078
49,108544,19.215595245361328,0.617501437664032,29.880817413330078
50,110592,20.47098159790039,0.9867604374885559,29.880817413330078
51,112640,19.506519317626953,1.846813678741455,29.880817413330078
52,114688,19.200531005859375,2.702333688735962,29.880817413330078
53,116736,20.018932342529297,2.0614280700683594,29.880817413330078
54,118784,16.43698501586914,3.0624256134033203,29.880817413330078
55,120832,21.506624221801758,1.5350751876831055,29.880817413330078
56,122880,19.26852798461914,1.3035824298858643,29.880817413330078
57,124928,20.651546478271484,0.9200059175491333,29.880817413330078
58,126976,19.859045028686523,1.8225781917572021,29.880817413330078
59,129024,17.546175003051758,3.491511583328247,29.880817413330078
60,131072,20.984094619750977,1.1537669897079468,29.880817413330078
61,133120,19.227006912231445,3.226151704788208,29.880817413330078
62,135168,20.549449920654297,1.4098514318466187,29.880817413330078
63,137216,20.75107192993164,1.0159260034561157,29.880817413330078
64,139264,18.631763458251953,2.62722110748291,29.880817413330078
65,141312,20.182464599609375,1.146699070930481,29.880817413330078
66,143360,18.168209075927734,2.740873336791992,29.880817413330078
67,145408,16.6704044342041,4.739737033843994,29.880817413330078
68,147456,16.86581802368164,5.587503433227539,29.880817413330078
69,149504,18.554035186767578,1.604340672492981,29.880817413330078
70,151552,17.22318458557129,4.911121368408203,29.880817413330078
71,153600,19.96759796142578,1.2802989482879639,29.880817413330078
72,155648,18.941722869873047,3.1719579696655273,29.880817413330078
73,157696,20.469938278198242,1.304753065109253,29.880817413330078
74,159744,20.65117835998535,1.391885757446289,29.880817413330078
75,161792,20.354467391967773,1.3051410913467407,29.880817413330078
76,163840,20.65006446838379,0.6663542985916138,29.880817413330078
77,165888,20.5327091217041,0.6617724299430847,29.880817413330078
78,167936,20.338241577148438,0.4441545605659485,29.880817413330078
79,169984,19.340091705322266,1.2389904260635376,29.880817413330078
80,172032,19.31301498413086,1.9437545537948608,29.880817413330078
81,174080,19.549551010131836,0.5818675756454468,29.880817413330078
82,176128,20.017030715942383,1.4225726127624512,29.880817413330078
83,178176,21.150623321533203,0.8930146098136902,29.880817413330078
84,180224,19.657424926757812,1.0507398843765259,29.880817413330078
85,182272,19.648767471313477,0.8481292128562927,29.880817413330078
86,184320,19.44015884399414,1.2275471687316895,29.880817413330078
87,186368,19.085912704467773,2.061422348022461,29.880817413330078
88,188416,19.054758071899414,1.2187529802322388,29.880817413330078
89,190464,19.921796798706055,1.5781478881835938,29.880817413330078
90,192512,19.00220489501953,1.2207330465316772,29.880817413330078
91,194560,20.945510864257812,1.4373756647109985,29.880817413330078
92,196608,21.613788604736328,0.5587886571884155,29.880817413330078
93,198656,20.271297454833984,1.2737736701965332,29.880817413330078
94,200704,19.849950790405273,1.7011823654174805,29.880817413330078
95,202752,19.135873794555664,1.2301695346832275,29.880817413330078
96,204800,18.817882537841797,1.8635554313659668,29.880817413330078
97,206848,19.93490982055664,1.7680952548980713,29.880817413330078
98,208896,19.481584548950195,2.486531972885132,29.880817413330078
99,210944,19.449405670166016,0.605373740196228,29.880817413330078
100,212992,20.7911434173584,0.9902783036231995,29.880817413330078
101,215040,19.75897979736328,2.337214231491089,29.880817413330078
102,217088,19.740596771240234,0.9610592722892761,29.880817413330078
103,219136,19.607091903686523,1.5811487436294556,29.880817413330078
104,221184,19.941974639892578,0.9375680088996887,29.880817413330078
105,223232,19.986526489257812,2.154604196548462,29.880817413330078
106,225280,19.490896224975586,0.9501417875289917,29.880817413330078
107,227328,18.41145896911621,1.5834072828292847,29.880817413330078
108,229376,19.86720848083496,0.9953007698059082,29.880817413330078
109,231424,20.7388858795166,1.1427713632583618,29.880817413330078
110,233472,20.192970275878906,0.927692174911499,29.880817413330078
111,235520,19.293434143066406,1.9995354413986206,29.880817413330078
112,237568,20.039051055908203,0.8443130850791931,29.880817413330078
113,239616,19.657506942749023,0.9221438765525818,29.880817413330078
114,241664,19.109760284423828,2.0363991260528564,29.880817413330078
115,243712,18.55477523803711,0.9002057313919067,29.880817413330078
116,245760,19.89275550842285,2.6445186138153076,29.880817413330078
117,247808,19.898033142089844,2.223477602005005,29.880817413330078
118,249856,18.66568374633789,2.0666308403015137,29.880817413330078
119,251904,19.211008071899414,3.7795917987823486,29.880817413330078
120,253952,18.459199905395508,2.6525495052337646,29.880817413330078
121,256000,19.007150650024414,2.310917377471924,29.880817413330078
122,258048,21.44793128967285,0.9149342179298401,29.880817413330078
123,260096,19.033823013305664,2.578747272491455,29.880817413330078
124,262144,19.598888397216797,1.1339892148971558,29.880817413330078
125,264192,19.27045249938965,3.620387554168701,29.880817413330078
126,266240,19.24271583557129,0.5167383551597595,29.880817413330078
127,268288,20.009227752685547,1.4807848930358887,29.880817413330078
128,270336,18.291706085205078,2.0871503353118896,29.880817413330078
129,272384,17.749053955078125,0.71281898021698,29.880817413330078
130,274432,17.181407928466797,1.9906185865402222,29.880817413330078
131,276480,19.933452606201172,0.8218990564346313,29.880817413330078
132,278528,18.930185317993164,1.5322922468185425,29.880817413330078
133,280576,19.275659561157227,2.0835299491882324,29.880817413330078
134,282624,19.707448959350586,1.7450973987579346,29.880817413330078
135,284672,18.7684268951416,1.6149269342422485,29.880817413330078
136,286720,20.299877166748047,1.4201538562774658,29.880817413330078
137,288768,20.090900421142578,1.9677613973617554,29.880817413330078
138,290816,18.831924438476562,1.9301337003707886,29.880817413330078
139,292864,19.922359466552734,1.5846004486083984,29.880817413330078
140,294912,18.045133590698242,2.4739840030670166,29.880817413330078
141,296960,20.33096694946289,1.8673803806304932,29.880817413330078
142,299008,18.130992889404297,1.6631501913070679,29.880817413330078
143,301056,19.436344146728516,1.3034335374832153,29.880817413330078
144,303104,18.778308868408203,2.0004265308380127,29.880817413330078
145,305152,19.13058853149414,1.3687386512756348,29.880817413330078
146,307200,19.973039627075195,1.6764311790466309,29.880817413330078
147,309248,19.710599899291992,2.1082186698913574,29.880817413330078
148,311296,20.142181396484375,1.2530362606048584,29.880817413330078
149,313344,20.383691787719727,1.6545740365982056,29.880817413330078
150,315392,19.638540267944336,0.7761623859405518,29.880817413330078
151,317440,20.162111282348633,0.7192662954330444,29.880817413330078
152,319488,19.967784881591797,1.3378281593322754,29.880817413330078
153,321536,18.623823165893555,0.7715882658958435,29.880817413330078
154,323584,19.69436264038086,1.1917290687561035,29.880817413330078
155,325632,20.06732749938965,0.5897372364997864,29.880817413330078
156,327680,21.954055786132812,0.4661632478237152,29.880817413330078
157,329728,19.488933563232422,1.4242438077926636,29.880817413330078
158,331776,19.520023345947266,0.6508231163024902,29.880817413330078
159,333824,20.575101852416992,1.2842414379119873,29.880817413330078
160,335872,19.958951950073242,0.9241355061531067,29.880817413330078
161,337920,20.415145874023438,1.3885713815689087,29.880817413330078
162,339968,19.185779571533203,0.21255548298358917,29.880817413330078
163,342016,19.608383178710938,1.1542388200759888,29.880817413330078
164,344064,20.150226593017578,0.9372105002403259,29.880817413330078
165,346112,19.7113037109375,1.7596665620803833,29.880817413330078
166,348160,19.930673599243164,1.0992810726165771,29.880817413330078
167,350208,19.716175079345703,1.206170678138733,29.880817413330078
168,352256,19.59256935119629,1.7202848196029663,29.880817413330078
169,354304,20.12188720703125,1.4160449504852295,29.880817413330078
170,356352,20.699321746826172,1.2721929550170898,29.880817413330078
171,358400,20.756290435791016,1.46823251247406,29.880817413330078
172,360448,19.154829025268555,1.5928438901901245,29.880817413330078
173,362496,19.698606491088867,1.3959918022155762,29.880817413330078
174,364544,20.748743057250977,0.7911781668663025,29.880817413330078
175,366592,20.315998077392578,1.4381734132766724,29.880817413330078
176,368640,20.46919059753418,1.5283809900283813,29.880817413330078
177,370688,19.865325927734375,1.2020288705825806,29.880817413330078
