iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.625761,0.638093,0.665389,0.799080,0.799080
2,0.625373,0.638310,0.665389,0.799080,0.799080
3,0.624979,0.638438,0.665389,0.799080,0.799080
4,0.624606,0.638522,0.665389,0.799080,0.799080
5,0.624266,0.638749,0.665389,0.799080,0.799080
6,0.623884,0.639006,0.665389,0.799080,0.799080
7,0.623535,0.639124,0.665389,0.799080,0.799080
8,0.623248,0.639400,0.665389,0.799080,0.799080
9,0.622970,0.639703,0.665389,0.799080,0.799080
10,0.622703,0.639864,0.665389,0.799080,0.799080
11,0.622421,0.640306,0.665389,0.799080,0.799080
12,0.622135,0.640417,0.665389,0.799080,0.799080
13,0.621855,0.640976,0.665389,0.799080,0.799080
14,0.621553,0.640942,0.665389,0.799080,0.799080
15,0.621278,0.641203,0.665389,0.799080,0.799080
16,0.620979,0.641459,0.665389,0.799080,0.799080
17,0.620690,0.641391,0.665389,0.799080,0.799080
18,0.620485,0.641696,0.665389,0.799080,0.799080
19,0.620153,0.641751,0.665389,0.799080,0.799080
20,0.619794,0.641825,0.665389,0.799080,0.799080
21,0.619613,0.641847,0.665389,0.799080,0.799080
22,0.619376,0.642460,0.665389,0.799080,0.799080
23,0.619220,0.642524,0.665389,0.799080,0.799080
24,0.619037,0.642560,0.665389,0.799080,0.799080
25,0.618848,0.642473,0.665389,0.799080,0.799080
26,0.618610,0.643024,0.665389,0.799080,0.799080
27,0.618356,0.643266,0.665389,0.799080,0.799080
28,0.618092,0.643468,0.665389,0.799080,0.799080
29,0.617781,0.643679,0.665389,0.799080,0.799080
30,0.617509,0.644057,0.665389,0.799080,0.799080
31,0.617324,0.644047,0.665389,0.799080,0.799080
32,0.617166,0.644253,0.665389,0.799080,0.799080
33,0.616997,0.644360,0.665389,0.799080,0.799080
34,0.616723,0.644300,0.665389,0.799080,0.799080
35,0.616545,0.644315,0.665389,0.799080,0.799080
36,0.616303,0.644739,0.665389,0.799080,0.799080
37,0.616016,0.644828,0.665389,0.799080,0.799080
38,0.615726,0.645305,0.665389,0.799080,0.799080
39,0.615448,0.645447,0.665389,0.799080,0.799080
40,0.615304,0.645623,0.665389,0.799080,0.799080
41,0.615159,0.645640,0.665389,0.799080,0.799080
