iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.628861,0.634380,0.669724,0.802197,0.802197
2,0.628480,0.634475,0.669724,0.802197,0.802197
3,0.628158,0.634509,0.669724,0.802197,0.802197
4,0.627867,0.634647,0.669724,0.802197,0.802197
5,0.627618,0.634723,0.669724,0.802197,0.802197
6,0.627309,0.634835,0.669724,0.802197,0.802197
7,0.627053,0.635150,0.669724,0.802197,0.802197
8,0.626858,0.635524,0.669724,0.802197,0.802197
9,0.626649,0.636047,0.669724,0.802197,0.802197
10,0.626415,0.636270,0.669724,0.802197,0.802197
11,0.626240,0.636434,0.669724,0.802197,0.802197
12,0.626053,0.636600,0.669724,0.802197,0.802197
13,0.625828,0.636611,0.669724,0.802197,0.802197
14,0.625637,0.636612,0.669724,0.802197,0.802197
15,0.625468,0.636801,0.669724,0.802197,0.802197
16,0.625212,0.637036,0.669724,0.802197,0.802197
17,0.625082,0.637123,0.669724,0.802197,0.802197
18,0.624979,0.637190,0.669724,0.802197,0.802197
19,0.624783,0.637625,0.669724,0.802197,0.802197
20,0.624590,0.637618,0.669724,0.802197,0.802197
21,0.624451,0.637893,0.669724,0.802197,0.802197
22,0.624317,0.637881,0.669724,0.802197,0.802197
23,0.624112,0.638016,0.669724,0.802197,0.802197
24,0.624011,0.638233,0.669724,0.802197,0.802197
25,0.623854,0.638261,0.669724,0.802197,0.802197
26,0.623692,0.638311,0.669724,0.802197,0.802197
27,0.623354,0.638377,0.669724,0.802197,0.802197
28,0.623211,0.639023,0.669724,0.802197,0.802197
29,0.623040,0.639019,0.669724,0.802197,0.802197
30,0.622913,0.639155,0.669724,0.802197,0.802197
31,0.622854,0.639157,0.669724,0.802197,0.802197
32,0.622506,0.639177,0.669724,0.802197,0.802197
33,0.622313,0.639556,0.669724,0.802197,0.802197
34,0.622159,0.639544,0.669724,0.802197,0.802197
35,0.621859,0.639524,0.669724,0.802197,0.802197
36,0.621754,0.639501,0.669724,0.802197,0.802197
37,0.621592,0.639627,0.669724,0.802197,0.802197
38,0.621420,0.639936,0.664350,0.795940,0.802197
39,0.621294,0.640294,0.664350,0.795940,0.802197
40,0.621156,0.640496,0.664350,0.795940,0.802197
41,0.620962,0.640578,0.664350,0.795940,0.802197
