iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.619347,0.638161,0.667049,0.800275,0.800275
2,0.618738,0.639203,0.667049,0.800275,0.800275
3,0.618149,0.640626,0.667049,0.800275,0.800275
4,0.617400,0.641852,0.667049,0.800275,0.800275
5,0.616599,0.642493,0.667049,0.800275,0.800275
6,0.615726,0.642901,0.667049,0.800275,0.800275
7,0.615103,0.644686,0.667049,0.800275,0.800275
8,0.614233,0.646321,0.667049,0.800275,0.800275
9,0.613597,0.648296,0.667049,0.800275,0.800275
10,0.612931,0.650765,0.667049,0.800275,0.800275
11,0.612366,0.652757,0.667049,0.800275,0.800275
12,0.612127,0.653699,0.667049,0.800275,0.800275
13,0.611829,0.655970,0.667049,0.800275,0.800275
14,0.611542,0.657971,0.667049,0.800275,0.800275
15,0.611088,0.659363,0.667049,0.800275,0.800275
16,0.610862,0.661059,0.667049,0.800275,0.800275
17,0.610203,0.661516,0.667049,0.800275,0.800275
18,0.609928,0.663359,0.667049,0.800275,0.800275
19,0.609216,0.663625,0.667049,0.800275,0.800275
20,0.608858,0.663692,0.667049,0.800275,0.800275
21,0.608430,0.664071,0.667049,0.800275,0.800275
22,0.608059,0.666208,0.667049,0.800275,0.800275
23,0.607426,0.668377,0.667049,0.800275,0.800275
24,0.607137,0.669906,0.667049,0.800275,0.800275
25,0.606544,0.669958,0.667049,0.800275,0.800275
26,0.605766,0.670080,0.667049,0.800275,0.800275
27,0.605461,0.670351,0.667049,0.800275,0.800275
28,0.605108,0.670951,0.667049,0.800275,0.800275
29,0.604666,0.671034,0.667049,0.800275,0.800275
30,0.604138,0.672933,0.667049,0.800275,0.800275
31,0.603745,0.673199,0.667049,0.800275,0.800275
32,0.603233,0.673411,0.667049,0.800275,0.800275
33,0.602894,0.674966,0.667049,0.800275,0.800275
34,0.602714,0.677264,0.667049,0.800275,0.800275
35,0.602183,0.677940,0.667049,0.800275,0.800275
36,0.601822,0.677901,0.667049,0.800275,0.800275
37,0.601298,0.678166,0.667049,0.800275,0.800275
38,0.600939,0.678998,0.667049,0.800275,0.800275
39,0.600537,0.680301,0.667049,0.800275,0.800275
40,0.600318,0.682363,0.667049,0.800275,0.800275
41,0.600131,0.684070,0.667049,0.800275,0.800275
