iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.634279,0.636224,0.667144,0.800344,0.800344
2,0.634225,0.636218,0.667144,0.800344,0.800344
3,0.634173,0.636243,0.667144,0.800344,0.800344
4,0.634118,0.636272,0.667144,0.800344,0.800344
5,0.634071,0.636305,0.667144,0.800344,0.800344
6,0.634029,0.636372,0.667144,0.800344,0.800344
7,0.633981,0.636405,0.667144,0.800344,0.800344
8,0.633934,0.636422,0.667144,0.800344,0.800344
9,0.633912,0.636448,0.667144,0.800344,0.800344
10,0.633874,0.636473,0.667144,0.800344,0.800344
11,0.633839,0.636490,0.667144,0.800344,0.800344
12,0.633799,0.636591,0.667144,0.800344,0.800344
13,0.633764,0.636605,0.667144,0.800344,0.800344
14,0.633725,0.636631,0.667144,0.800344,0.800344
15,0.633698,0.636658,0.667144,0.800344,0.800344
16,0.633653,0.636761,0.667144,0.800344,0.800344
17,0.633618,0.636883,0.667144,0.800344,0.800344
18,0.633588,0.637046,0.667144,0.800344,0.800344
19,0.633559,0.637065,0.667144,0.800344,0.800344
20,0.633537,0.637084,0.667144,0.800344,0.800344
21,0.633509,0.637264,0.667144,0.800344,0.800344
22,0.633478,0.637398,0.667144,0.800344,0.800344
23,0.633440,0.637607,0.667144,0.800344,0.800344
24,0.633421,0.637628,0.667144,0.800344,0.800344
25,0.633395,0.637828,0.667144,0.800344,0.800344
26,0.633375,0.637843,0.667144,0.800344,0.800344
27,0.633345,0.637848,0.667144,0.800344,0.800344
28,0.633340,0.637872,0.667144,0.800344,0.800344
29,0.633304,0.638036,0.667144,0.800344,0.800344
30,0.633276,0.638042,0.667144,0.800344,0.800344
31,0.633252,0.638223,0.667144,0.800344,0.800344
32,0.633232,0.638432,0.667144,0.800344,0.800344
33,0.633219,0.638435,0.667144,0.800344,0.800344
34,0.633185,0.638607,0.667144,0.800344,0.800344
35,0.633160,0.638611,0.667144,0.800344,0.800344
36,0.633140,0.638734,0.667144,0.800344,0.800344
37,0.633130,0.638742,0.667144,0.800344,0.800344
38,0.633112,0.638761,0.667144,0.800344,0.800344
39,0.633096,0.638762,0.667144,0.800344,0.800344
40,0.633060,0.638773,0.667144,0.800344,0.800344
41,0.633046,0.638791,0.667144,0.800344,0.800344
