timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T13:16:21,LSTM_4h_long_V9,1,train,0.469543,0.500969,0.363901,2.713525e-04,0.5000
2025-08-17T13:16:26,LSTM_4h_long_V9,1,val,0.497606,0.575022,0.508444,2.713525e-04,0.3000
2025-08-17T13:16:31,LSTM_4h_long_V9,2,train,0.462867,0.500539,0.333573,1.963525e-04,0.5000
2025-08-17T13:16:36,LSTM_4h_long_V9,2,val,0.494871,0.642960,0.472065,1.963525e-04,0.3000
2025-08-17T13:16:41,LSTM_4h_long_V9,3,train,0.463474,0.492567,0.330013,1.036475e-04,0.5000
2025-08-17T13:16:46,LSTM_4h_long_V9,3,val,0.489893,0.521827,0.497906,1.036475e-04,0.3250
2025-08-17T13:16:51,LSTM_4h_long_V9,4,train,0.462251,0.500682,0.333636,2.864745e-05,0.5000
2025-08-17T13:16:56,LSTM_4h_long_V9,4,val,0.509729,0.661174,0.455155,2.864745e-05,0.2750
2025-08-17T13:17:01,LSTM_4h_long_V9,5,train,0.462800,0.495727,0.331429,3.000000e-04,0.5000
2025-08-17T13:17:06,LSTM_4h_long_V9,5,val,0.507422,0.467765,0.465834,3.000000e-04,0.3000
2025-08-17T13:17:11,LSTM_4h_long_V9,6,train,0.462621,0.496589,0.331814,2.926585e-04,0.5000
2025-08-17T13:17:16,LSTM_4h_long_V9,6,val,0.500335,0.645273,0.458910,2.926585e-04,0.3000
2025-08-17T13:17:21,LSTM_4h_long_V9,7,train,0.462542,0.499174,0.332966,2.713525e-04,0.5000
2025-08-17T13:17:26,LSTM_4h_long_V9,7,val,0.500691,0.570107,0.498122,2.713525e-04,0.3000
2025-08-17T13:17:30,LSTM_4h_long_V9,8,train,0.462168,0.499102,0.332934,2.381678e-04,0.5000
2025-08-17T13:17:35,LSTM_4h_long_V9,8,val,0.495571,0.641226,0.475087,2.381678e-04,0.3000
2025-08-17T13:17:40,LSTM_4h_long_V9,9,train,0.462422,0.500251,0.333445,1.963525e-04,0.5000
2025-08-17T13:17:45,LSTM_4h_long_V9,9,val,0.504776,0.546112,0.500139,1.963525e-04,0.3000
2025-08-17T13:17:50,LSTM_4h_long_V9,10,train,0.462141,0.502478,0.334433,1.500000e-04,0.5000
2025-08-17T13:17:55,LSTM_4h_long_V9,10,val,0.520896,0.546690,0.506154,1.500000e-04,0.2750
2025-08-17T13:18:00,LSTM_4h_long_V9,11,train,0.462491,0.496517,0.332035,1.036475e-04,0.5000
2025-08-17T13:18:05,LSTM_4h_long_V9,11,val,0.510706,0.662619,0.460861,1.036475e-04,0.2750
2025-08-17T13:18:10,LSTM_4h_long_V9,12,train,0.461861,0.502334,0.334497,6.183221e-05,0.5000
2025-08-17T13:18:14,LSTM_4h_long_V9,12,val,0.511002,0.660306,0.462610,6.183221e-05,0.2750
2025-08-17T13:18:19,LSTM_4h_long_V9,13,train,0.462103,0.496014,0.331557,2.864745e-05,0.5000
2025-08-17T13:18:24,LSTM_4h_long_V9,13,val,0.510516,0.660596,0.463365,2.864745e-05,0.2750
