time,p_long,p_short
2017-08-17 04:59:59.999,0.5,0.7310585786300049
2017-08-17 09:59:59.999,0.5,0.7310585786300049
2017-08-17 17:59:59.999,0.5,0.7310585786300049
2017-08-17 19:59:59.999,0.5,0.7310585786300049
2017-08-17 21:59:59.999,0.5,0.7310585786300049
2017-08-18 01:59:59.999,0.5,0.7310585786300049
2017-08-18 04:59:59.999,0.5,0.7310585786300049
2017-08-18 11:59:59.999,0.5,0.7310585786300049
2017-08-18 15:59:59.999,0.5,0.7310585786300049
2017-08-18 18:59:59.999,0.5,0.7310585786300049
2017-08-18 20:59:59.999,0.5,0.7310585786300049
2017-08-18 23:59:59.999,0.5,0.7310585786300049
2017-08-19 01:59:59.999,0.5,0.7310585786300049
2017-08-19 04:59:59.999,0.5,0.7310585786300049
2017-08-19 07:59:59.999,0.5,0.7310585786300049
2017-08-19 10:59:59.999,0.5,0.7310585786300049
2017-08-19 12:59:59.999,0.5,0.7310585786300049
2017-08-19 16:59:59.999,0.5,0.7310585786300049
2017-08-19 19:59:59.999,0.5,0.7310585786300049
2017-08-19 22:59:59.999,0.5,0.7310585786300049
2017-08-20 06:59:59.999,0.5,0.7310585786300049
2017-08-20 09:59:59.999,0.5,0.7310585786300049
2017-08-20 19:59:59.999,0.5,0.7310585786300049
2017-08-20 23:59:59.999,0.5,0.7310585786300049
2017-08-21 04:59:59.999,0.5,0.7310585786300049
2017-08-21 07:59:59.999,0.5,0.7310585786300049
2017-08-21 15:59:59.999,0.5,0.7310585786300049
2017-08-21 17:59:59.999,0.5,0.7310585786300049
2017-08-21 19:59:59.999,0.5,0.7310585786300049
2017-08-21 21:59:59.999,0.5,0.7310585786300049
2017-08-22 01:59:59.999,0.5,0.7310585786300049
2017-08-22 03:59:59.999,0.5,0.7310585786300049
2017-08-22 05:59:59.999,0.5,0.7310585786300049
2017-08-22 07:59:59.999,0.5,0.7310585786300049
2017-08-22 09:59:59.999,0.5,0.7310585786300049
2017-08-22 12:59:59.999,0.5,0.7310585786300049
2017-08-22 15:59:59.999,0.5,0.7310585786300049
2017-08-22 17:59:59.999,0.5,0.7310585786300049
2017-08-22 19:59:59.999,0.5,0.7310585786300049
2017-08-22 21:59:59.999,0.5,0.7310585786300049
2017-08-22 23:59:59.999,0.5,0.7310585786300049
2017-08-23 03:59:59.999,0.5,0.7310585786300049
2017-08-23 05:59:59.999,0.5,0.7310585786300049
2017-08-23 09:59:59.999,0.5,0.7310585786300049
2017-08-23 14:59:59.999,0.5,0.7310585786300049
2017-08-23 17:59:59.999,0.5,0.7310585786300049
2017-08-23 22:59:59.999,0.5,0.7310585786300049
2017-08-24 02:59:59.999,0.5,0.7310585786300049
2017-08-24 04:59:59.999,0.5,0.7310585786300049
2017-08-24 06:59:59.999,0.5,0.7310585786300049
2017-08-24 09:59:59.999,0.5,0.7310585786300049
2017-08-24 11:59:59.999,0.5,0.7310585786300049
2017-08-24 15:59:59.999,0.5,0.7310585786300049
2017-08-24 20:59:59.999,0.5,0.7310585786300049
2017-08-24 23:59:59.999,0.5,0.7310585786300049
2017-08-25 07:59:59.999,0.5,0.7310585786300049
2017-08-25 13:59:59.999,0.5,0.7310585786300049
2017-08-25 16:59:59.999,0.5,0.7310585786300049
2017-08-25 19:59:59.999,0.5,0.7310585786300049
