family,tf,variant,long_missing,short_missing,expected_long_path,expected_short_path,long_issues,short_issues
XGBOOST,1h,V10,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V11,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V12,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V13,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V14,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V15,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V2,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V3,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V4,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V5,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V6,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V7,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V8,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,1h,V9,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V1,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V10,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V11,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V12,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V13,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V14,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V15,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V2,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V3,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V4,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V5,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V6,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V7,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V8,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,30m,V9,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V1,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V10,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V11,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V12,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V13,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V14,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V15,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V2,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V3,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V4,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V5,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V6,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
XGBOOST,4h,V7,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
