family,tf,variant,tf_data_exists,m1_exists,long_model,short_model,long_ext,short_ext,long_spec,short_spec,long_spec_feats,short_spec_feats,long_trades_rows,short_trades_rows,long_issues,short_issues,issues_overall,hint
CNN,4h,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V8.pt,.pt,.pt,True,True,3,3,1266,3375,ok,ok,ok,ok
CNN,4h,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V9.pt,.pt,.pt,True,True,4,4,1763,3017,ok,ok,ok,ok
CNN,4h,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V10.pt,.pt,.pt,True,True,7,7,169,4365,ok,ok,ok,ok
CNN,4h,V11,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V11.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V11.pt,.pt,.pt,True,True,8,8,1916,2914,ok,ok,ok,ok
CNN,4h,V12,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V12.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V12.pt,.pt,.pt,True,True,9,9,2537,2159,ok,ok,ok,ok
CNN,4h,V13,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V13.pt,.pt,.pt,True,True,23,23,4409,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,4h,V14,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V14.pt,.pt,.pt,True,True,28,28,4409,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,4h,V15,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V15.pt,.pt,.pt,True,True,36,36,4409,4463,ok,ok,ok,ok
CNN,1h,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V1.pt,.pt,.pt,True,True,36,36,7855,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,1h,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V2.pt,.pt,.pt,True,True,2,2,1610,6692,ok,ok,ok,ok
CNN,1h,V3,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V3.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V3.pt,.pt,.pt,True,True,2,2,3281,6104,ok,ok,ok,ok
CNN,1h,V4,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V4.pt,.pt,.pt,True,True,4,4,5737,2668,ok,ok,ok,ok
CNN,1h,V5,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V5.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V5.pt,.pt,.pt,True,True,3,3,5443,4370,ok,ok,ok,ok
